stratum,threshold,model,biopsy_all,biopsy_none
DDI III-VI,0.19,0.06045439378772712,0.011132344465677818,0.0
DDI III-VI,0.2,0.054668304668304676,-0.001228501228501211,0.0
DDI III-VI,0.21,0.05439616832021896,-0.013902279725064498,0.0
DDI III-VI,0.22,0.052668052668052676,-0.026901026901026887,0.0
DDI III-VI,0.23,0.0520756884393248,-0.04023740387376748,0.0
DDI III-VI,0.24,0.04965731281520755,-0.05392473813526441,0.0
DDI III-VI,0.25,0.04668304668304668,-0.06797706797706796,0.0
DDI III-VI,0.26,0.038980011952984915,-0.08240919051729864,0.0
DDI III-VI,0.27,0.029921577866783337,-0.09723671367506984,0.0
DDI III-VI,0.28,0.028119028119028104,-0.11247611247611253,0.0
DDI III-VI,0.29,0.02733847804270339,-0.12814479011662108,0.0
DDI III-VI,0.3,0.025272025272025274,-0.14426114426114425,0.0
DDI III-VI,0.31,0.023430545169675597,-0.1608446391055087,0.0
DDI III-VI,0.32,0.02052319699378522,-0.17791588379823678,0.0
DDI III-VI,0.33,0.01675895705746451,-0.19549671788477765,0.0
DDI III-VI,0.34,0.014444196262378063,-0.21361030451939547,0.0
DDI III-VI,0.35,0.016254016254016262,-0.23228123228123224,0.0
DDI III-VI,0.36,0.01550982800982801,-0.25153562653562656,0.0
DDI III-VI,0.37,0.01524901524901525,-0.27140127140127135,0.0
DDI III-VI,0.38,0.011333914559721013,-0.29190774352064675,0.0
DDI III-VI,0.39,0.008498811777500295,-0.31308655898819826,0.0
DDI III-VI,0.4,0.009828009828009833,-0.334971334971335,0.0
DDI III-VI,0.41,0.007954024903177467,-0.3575979677674591,0.0
DDI III-VI,0.42,0.004659832246039143,-0.38100482928069124,0.0
DDI III-VI,0.43,0.002198370619423254,-0.4052329841803525,0.0
DDI III-VI,0.44,0.0022815022815022776,-0.43032643032643025,0.0
DDI III-VI,0.45,0.0024570024570024565,-0.4563323654232744,0.0
DDI III-VI,0.46,0.0006370006370006315,-0.48330148330148326,0.0
DDI III-VI,0.47,0.0009271707384914951,-0.5112883037411338,0.0
DDI III-VI,0.48,0.0032130032130032182,-0.5403515403515402,0.0
DDI III-VI,0.49,-0.0009153538565303265,-0.5705545117309822,0.0
DDI III-VI,0.5,-0.0024570024570024565,-0.6019656019656019,0.0
DDI III-IV,0.01,0.2729885057471264,0.2729014280738418,0.0
DDI III-IV,0.02,0.2660098522167487,0.26548205489092186,0.0
DDI III-IV,0.03,0.2554656949875578,0.25790970494134374,0.0
DDI III-IV,0.04,0.25035919540229884,0.2501795977011494,0.0
DDI III-IV,0.05,0.2361615245009074,0.2422867513611615,0.0
DDI III-IV,0.06,0.22743947175348495,0.2342259721203228,0.0
DDI III-IV,0.07,0.21472932888394508,0.22599184278828324,0.0
DDI III-IV,0.08,0.2025862068965517,0.21757871064467765,0.0
DDI III-IV,0.09,0.1979442970822281,0.20898067449791585,0.0
DDI III-IV,0.1,0.18295019157088122,0.20019157088122602,0.0
DDI III-IV,0.11,0.17512592018597445,0.19120495931809373,0.0
DDI III-IV,0.12,0.1698667711598746,0.1820141065830721,0.0
DDI III-IV,0.13,0.15794688862465317,0.17261196987713037,0.0
DDI III-IV,0.14,0.15918203688853247,0.16299117882919,0.0
DDI III-IV,0.15,0.1539046653144016,0.1531440162271805,0.0
DDI III-IV,0.16,0.14470443349753692,0.14306239737274215,0.0
DDI III-IV,0.17,0.13943705857914418,0.13273784794349808,0.0
DDI III-IV,0.18,0.13130782169890665,0.122161480235492,0.0
DDI III-IV,0.19,0.12361643252447851,0.11132396764580671,0.0
DDI III-IV,0.2,0.11422413793103449,0.10021551724137928,0.0
DDI III-IV,0.21,0.10846791793976429,0.08882584024443474,0.0
DDI III-IV,0.22,0.10400088417329795,0.0771441202475685,0.0
DDI III-IV,0.23,0.10232870577698165,0.06515897895208239,0.0
DDI III-IV,0.24,0.10276769509981852,0.05285843920145189,0.0
DDI III-IV,0.25,0.09913793103448276,0.04022988505747124,0.0
DDI III-IV,0.26,0.09144920782851818,0.02726001863932892,0.0
DDI III-IV,0.27,0.0781176192725555,0.013934813415210134,0.0
DDI III-IV,0.28,0.07614942528735631,0.0002394636015324858,0.0
DDI III-IV,0.29,0.07764691597863041,-0.013841670713938825,0.0
DDI III-IV,0.3,0.07327586206896552,-0.02832512315270941,0.0
DDI III-IV,0.31,0.07290104947526235,-0.04322838580709654,0.0
DDI III-IV,0.32,0.06465517241379311,-0.0585699797160244,0.0
DDI III-IV,0.33,0.056549150797735453,-0.07436953165208449,0.0
DDI III-IV,0.34,0.05067920585161964,-0.0906478578892373,0.0
DDI III-IV,0.35,0.04940318302387268,-0.10742705570291777,0.0
DDI III-IV,0.36,0.04795258620689655,-0.12473060344827591,0.0
DDI III-IV,0.37,0.04720853858784893,-0.1425834701696771,0.0
DDI III-IV,0.38,0.039905450500556175,-0.16101223581757512,0.0
DDI III-IV,0.39,0.03434143583945733,-0.1800452232899944,0.0
DDI III-IV,0.4,0.035919540229885055,-0.199712643678161,0.0
DDI III-IV,0.41,0.034701928696668626,-0.2200467562828754,0.0
DDI III-IV,0.42,0.02482164090368609,-0.24108204518430432,0.0
DDI III-IV,0.43,0.0235178463399879,-0.26285541439806415,0.0
DDI III-IV,0.44,0.025554187192118227,-0.2854064039408867,0.0
DDI III-IV,0.45,0.027821316614420066,-0.30877742946708464,0.0
DDI III-IV,0.46,0.0266602809706258,-0.3330140485312899,0.0
DDI III-IV,0.47,0.029277813923227067,-0.35816525699414437,0.0
DDI III-IV,0.48,0.027851458885941646,-0.3842838196286472,0.0
DDI III-IV,0.49,0.022565922920892496,-0.4114266396213657,0.0
DDI III-IV,0.5,0.021551724137931032,-0.43965517241379315,0.0
DDI V-VI,0.01,0.08225108225108226,0.08225108225108226,0.0
DDI V-VI,0.02,0.07311953352769679,0.07288629737609328,0.0
DDI V-VI,0.03,0.06491899852724595,0.06332842415316642,0.0
DDI V-VI,0.04,0.056904761904761895,0.05357142857142857,0.0
DDI V-VI,0.05,0.05022556390977444,0.04360902255639097,0.0
DDI V-VI,0.06,0.04437689969604864,0.033434650455927056,0.0
DDI V-VI,0.07,0.026236559139784933,0.023041474654377864,0.0
DDI V-VI,0.08,0.024844720496894415,0.0124223602484472,0.0
DDI V-VI,0.09,0.013814756671899533,0.001569858712715852,0.0
DDI V-VI,0.1,0.0076190476190476225,-0.009523809523809532,0.0
DDI V-VI,0.11,0.002247191011235966,-0.020866773675762437,0.0
DDI V-VI,0.12,-0.007792207792207795,-0.032467532467532464,0.0
DDI V-VI,0.13,-0.01484400656814451,-0.04433497536945814,0.0
DDI V-VI,0.14,-0.014352159468438541,-0.05647840531561464,0.0
DDI V-VI,0.15,-0.016806722689075626,-0.0689075630252101,0.0
DDI V-VI,0.16,-0.016598639455782313,-0.08163265306122451,0.0
DDI V-VI,0.17,-0.017900172117039592,-0.09466437177280553,0.0
DDI V-VI,0.18,-0.024390243902439025,-0.10801393728222995,0.0
DDI V-VI,0.19,-0.023280423280423283,-0.12169312169312167,0.0
DDI V-VI,0.2,-0.024285714285714292,-0.13571428571428573,0.0
DDI V-VI,0.21,-0.017287522603978304,-0.15009041591320071,0.0
DDI V-VI,0.22,-0.015384615384615379,-0.16483516483516486,0.0
DDI V-VI,0.23,-0.014545454545454535,-0.17996289424860856,0.0
DDI V-VI,0.24,-0.02075187969924811,-0.19548872180451127,0.0
DDI V-VI,0.25,-0.02285714285714286,-0.2114285714285714,0.0
DDI V-VI,0.26,-0.03057915057915058,-0.22779922779922784,0.0
DDI V-VI,0.27,-0.03397260273972604,-0.24461839530332685,0.0
DDI V-VI,0.28,-0.03555555555555557,-0.261904761904762,0.0
DDI V-VI,0.29,-0.03935613682092556,-0.27967806841046283,0.0
DDI V-VI,0.3,-0.03836734693877552,-0.29795918367346946,0.0
DDI V-VI,0.31,-0.04215320910973085,-0.31677018633540377,0.0
DDI V-VI,0.32,-0.03798319327731093,-0.3361344537815127,0.0
DDI V-VI,0.33,-0.035991471215351824,-0.3560767590618338,0.0
DDI V-VI,0.34,-0.0335930735930736,-0.37662337662337675,0.0
DDI V-VI,0.35,-0.02769230769230769,-0.3978021978021978,0.0
DDI V-VI,0.36,-0.027500000000000004,-0.4196428571428572,0.0
